Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Mar 12, Fri",DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,1st match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:30 PM,Kolkata Knight Riders won by 11 runs,https://www.cricbuzz.com/cricket-scores/10677/dcg-vs-kkr-1st-match-indian-premier-league-2010,2010
"Mar 13, Sat",MUMBAI INDIANS,RAJASTHAN ROYALS,2nd match,"Brabourne Stadium, Mumbai",,09:30 AM,Mumbai Indians won by 4 runs,https://www.cricbuzz.com/cricket-scores/10676/mi-vs-rr-2nd-match-indian-premier-league-2010,2010
"Mar 13, Sat",PUNJAB KINGS,DELHI CAPITALS,3rd match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Delhi Daredevils won by 5 wickets (with 1 ball remaining),https://www.cricbuzz.com/cricket-scores/10675/pbks-vs-dc-3rd-match-indian-premier-league-2010,2010
"Mar 14, Sun",KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,4th match,"Eden Gardens, Kolkata",,10:30 AM,Kolkata Knight Riders won by 7 wickets (with 4 balls remaining),https://www.cricbuzz.com/cricket-scores/10672/kkr-vs-rcb-4th-match-indian-premier-league-2010,2010
"Mar 14, Sun",CHENNAI SUPER KINGS,DECCAN CHARGERS,5th match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Deccan Chargers won by 31 runs,https://www.cricbuzz.com/cricket-scores/10673/csk-vs-dcg-5th-match-indian-premier-league-2010,2010
"Mar 15, Mon",RAJASTHAN ROYALS,DELHI CAPITALS,6th match,"Narendra Modi Stadium, Ahmedabad",,02:30 PM,Delhi Daredevils won by 6 wickets (with 17 balls remaining),https://www.cricbuzz.com/cricket-scores/10674/rr-vs-dc-6th-match-indian-premier-league-2010,2010
"Mar 16, Tue",ROYAL CHALLENGERS BENGALURU,PUNJAB KINGS,7th match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Royal Challengers Bangalore won by 8 wickets (with 7 balls remaining),https://www.cricbuzz.com/cricket-scores/10668/rcb-vs-pbks-7th-match-indian-premier-league-2010,2010
"Mar 16, Tue",KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,8th match,"Eden Gardens, Kolkata",,02:30 PM,Chennai Super Kings won by 55 runs,https://www.cricbuzz.com/cricket-scores/10669/kkr-vs-csk-8th-match-indian-premier-league-2010,2010
"Mar 17, Wed",DELHI CAPITALS,MUMBAI INDIANS,9th match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Mumbai Indians won by 98 runs,https://www.cricbuzz.com/cricket-scores/10670/dc-vs-mi-9th-match-indian-premier-league-2010,2010
"Mar 18, Thu",ROYAL CHALLENGERS BENGALURU,RAJASTHAN ROYALS,10th match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 10 wickets (with 56 balls remaining),https://www.cricbuzz.com/cricket-scores/10671/rcb-vs-rr-10th-match-indian-premier-league-2010,2010
"Mar 19, Fri",DELHI CAPITALS,CHENNAI SUPER KINGS,11th match,"Arun Jaitley Stadium, Delhi",,10:30 AM,Chennai Super Kings won by 5 wickets (with 5 balls remaining),https://www.cricbuzz.com/cricket-scores/10618/dc-vs-csk-11th-match-indian-premier-league-2010,2010
"Mar 19, Fri",DECCAN CHARGERS,PUNJAB KINGS,12th match,"Barabati Stadium, Cuttack",,02:30 PM,Deccan Chargers won by 6 runs,https://www.cricbuzz.com/cricket-scores/10619/dcg-vs-pbks-12th-match-indian-premier-league-2010,2010
"Mar 20, Sat",RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,13th match,"Narendra Modi Stadium, Ahmedabad",,10:30 AM,Rajasthan Royals won by 34 runs,https://www.cricbuzz.com/cricket-scores/10620/rr-vs-kkr-13th-match-indian-premier-league-2010,2010
"Mar 20, Sat",MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,14th match,"Brabourne Stadium, Mumbai",,02:30 PM,Royal Challengers Bangalore won by 7 wickets (with 5 balls remaining),https://www.cricbuzz.com/cricket-scores/10621/mi-vs-rcb-14th-match-indian-premier-league-2010,2010
"Mar 21, Sun",DECCAN CHARGERS,DELHI CAPITALS,15th match,"Barabati Stadium, Cuttack",,10:30 AM,Deccan Chargers won by 10 runs,https://www.cricbuzz.com/cricket-scores/10622/dcg-vs-dc-15th-match-indian-premier-league-2010,2010
"Mar 21, Sun",CHENNAI SUPER KINGS,PUNJAB KINGS,16th match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Match tied (Kings XI Punjab won the one-over eliminator),https://www.cricbuzz.com/cricket-scores/10623/csk-vs-pbks-16th-match-indian-premier-league-2010,2010
"Mar 22, Mon",MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,17th match,"Brabourne Stadium, Mumbai",,02:30 PM,Mumbai Indians won by 7 wickets (with 9 balls remaining),https://www.cricbuzz.com/cricket-scores/10624/mi-vs-kkr-17th-match-indian-premier-league-2010,2010
"Mar 23, Tue",ROYAL CHALLENGERS BENGALURU,CHENNAI SUPER KINGS,18th match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 36 runs,https://www.cricbuzz.com/cricket-scores/10625/rcb-vs-csk-18th-match-indian-premier-league-2010,2010
"Mar 24, Wed",PUNJAB KINGS,RAJASTHAN ROYALS,19th match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Rajasthan Royals won by 31 runs,https://www.cricbuzz.com/cricket-scores/10626/pbks-vs-rr-19th-match-indian-premier-league-2010,2010
"Mar 25, Thu",ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,20th match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Delhi Daredevils won by 17 runs,https://www.cricbuzz.com/cricket-scores/10627/rcb-vs-dc-20th-match-indian-premier-league-2010,2010
